Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",O,0.44,32,8,10,67.92147080103557,30,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,23.47041169802348,30,1,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.376746575037638,30,1,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",X,0.04,15,22,13,21.334845701853432,30,1,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",O,-0.04,13,22,15,14.059685866038002,30,1,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",X,0.1,23,9,18,21.7501544157664,30,1,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",O,-0.1,18,9,23,69.81775522232054,30,1,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,42.38027850786844,30,2,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2495991388956704,30,2,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",X,-0.56,0,22,28,38.340189933776855,30,2,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",O,0.56,28,22,0,12.914814949035645,30,2,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",X,-0.7,5,5,40,40.616905291875206,30,2,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",O,0.7,40,5,5,69.52762126922607,30,2,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,40.348802725474044,30,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.1867674986521406,30,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",X,-0.24,1,36,13,35.801039695739746,30,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",O,0.24,13,36,1,12.671677271525066,30,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",X,-0.46,10,7,33,39.01528318723042,30,2,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",O,0.46,33,7,10,72.37510879834493,30,2,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,41.91120624542236,30,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.749031225840251,30,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",X,0.04,10,32,8,33.364494005839035,30,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",O,-0.04,8,32,10,13.16120425860087,30,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",X,-0.02,18,13,19,33.79672114054362,30,2,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",O,0.02,19,13,18,68.67731769879659,30,2,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,56.11151576042175,30,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.033560911814371,30,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",X,-0.76,0,12,38,53.99623394012451,30,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",O,0.76,38,12,0,12.494739294052124,30,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",X,-0.96,0,2,48,56.45103208223979,30,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",O,0.96,48,2,0,64.58239277203877,30,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,54.58625348409018,30,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,2.857485214869181,30,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",X,-0.08,1,44,5,49.20776176452637,30,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",O,0.08,5,44,1,12.65656312306722,30,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",X,-0.46,9,9,32,52.96122066179911,30,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",O,0.46,32,9,9,68.08590372403462,30,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,51.92226886749268,30,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.091870148976644,30,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",X,-0.04,7,34,9,45.106951157252,30,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",O,0.04,9,34,7,13.58144760131836,30,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",X,0.12,21,14,15,45.9853310585022,30,3,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",O,-0.12,15,14,21,68.63320469856261,30,3,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,40.1480237642924,50,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
