Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=2)",X,0.28,31,2,17,9.063104708989462,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=2)",O,-0.28,17,2,31,25.854409535725917,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=3)",X,0.14,26,5,19,9.397794167200724,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=3)",O,-0.14,19,5,26,26.98950370152791,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=1)",X,0.4,35,0,15,9.07771666844686,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=1)",O,-0.4,15,0,35,45.09856700897217,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=2)",X,0.16,27,4,19,9.103765726089478,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=2)",O,-0.16,19,4,27,40.44724384943645,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=3)",X,-0.04,22,4,24,9.482194105784098,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=2,D=3)",O,0.04,24,4,22,39.27093029022217,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=1)",X,0.6,39,2,9,9.224013328552246,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=1)",O,-0.6,9,2,39,64.45780714352927,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=2)",X,0.2,29,2,19,9.491278330485024,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=2)",O,-0.2,19,2,29,58.30185492833456,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=3)",X,-0.18,19,3,28,9.8594601949056,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=3,D=3)",O,0.18,28,3,19,54.04611070950826,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=1)",X,0.7,42,1,7,9.652926286061604,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=1)",O,-0.7,7,1,42,48.28099648157755,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=2)",X,0.3,31,3,16,10.765931526819864,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=2)",O,-0.3,16,3,31,44.87563689549764,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=3)",X,-0.04,23,2,25,9.613002936045328,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=1,D=3)",O,0.04,25,2,23,37.82289584477742,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=1)",X,0.82,45,1,4,8.917072931925457,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=1)",O,-0.82,4,1,45,76.43797993659973,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=2)",X,0.02,24,3,23,8.751753409703573,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=2)",O,-0.02,23,3,24,65.25053898493448,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=3)",X,0.32,33,0,17,9.012166182200115,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=2,D=3)",O,-0.32,17,0,33,63.62332542737326,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=1)",X,0.52,38,0,12,8.912389914194742,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=1)",O,-0.52,12,0,38,97.99219687779744,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=2)",X,0.14,28,1,21,9.112067937850952,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=2)",O,-0.14,21,1,28,91.82747960090636,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=3)",X,-0.04,23,2,25,10.147118012110392,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=50,R=3,D=3)",O,0.04,25,2,23,82.22935438156128,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=1,D=3)",X,0.56,36,6,8,8.349396944046022,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=1,D=3)",O,-0.56,8,6,36,8.392625649770103,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=1)",X,0.6,39,2,9,8.409138202667236,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=1)",O,-0.6,9,2,39,14.904847542444866,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=2)",X,0.6,38,4,8,8.661582708358765,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=2)",O,-0.6,8,4,38,14.401193062464394,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=3)",X,0.3,29,7,14,8.268650134404501,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=2,D=3)",O,-0.3,14,7,29,13.38049014409383,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=1)",X,0.54,37,3,10,8.309491237004599,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=1)",O,-0.54,10,3,37,20.78662236531576,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=2)",X,0.34,32,3,15,9.10313884417216,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=2)",O,-0.34,15,3,32,21.053787072499595,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=3)",X,0.2,27,6,17,10.098158756891886,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=10,R=3,D=3)",O,-0.2,17,6,27,21.79562409718832,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=1)",X,0.84,45,2,3,9.482354005177816,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=1)",O,-0.84,3,2,45,30.43792486190796,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=2)",X,0.14,26,5,19,9.528417110443115,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=2)",O,-0.14,19,5,26,26.585096915562943,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=3)",X,0.36,31,6,13,8.754387140274046,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=1,D=3)",O,-0.36,13,6,31,24.442900816599533,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=1)",X,0.6,40,0,10,9.026520013809204,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=1)",O,-0.6,10,0,40,47.15406179428101,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=2)",X,0.54,36,5,9,9.48159154256185,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=2)",O,-0.54,9,5,36,40.04237492879233,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=3)",X,0.16,27,4,19,8.335419893264769,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=2,D=3)",O,-0.16,19,4,27,36.63817445437113,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=1)",X,0.62,39,3,8,8.46552546819051,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=1)",O,-0.62,8,3,39,60.75905521710714,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=2)",X,0.44,34,4,12,8.41326093673706,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=2)",O,-0.44,12,4,34,51.85247461001079,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=3)",X,0.02,24,3,23,8.151328325271606,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=30,R=3,D=3)",O,-0.02,23,3,24,47.802487214406334,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=50,R=1,D=1)",X,0.62,39,3,8,8.291121482849121,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=50,R=1,D=1)",O,-0.62,8,3,39,42.87990530331929,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=50,R=1,D=2)",X,0.44,33,6,11,8.221214850743612,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=50,R=1,D=2)",O,-0.44,11,6,33,38.73729030291239,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=3) vs MCTS(S=50,R=1,D=3)",X,0.14,26,5,19,8.416694323221842,10,1,3,0,MCTS,MCTS,MCTS vs MCTS,50
