Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MiniMax(D=1) vs MCTS(S=30,R=2,D=3)",White,0.0,0,10,0,177.0025602976481,30,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=3,D=2)",Black,0.0,0,10,0,13.459380467732748,30,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=3,D=2)",White,0.0,0,10,0,193.71467431386316,30,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=3,D=3)",Black,0.0,0,10,0,12.680859565734863,30,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=3,D=3)",White,0.0,0,10,0,246.76232179005945,30,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",Black,-0.1,0,9,1,13.4642683892023,50,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",White,0.1,1,9,0,230.35258928934732,50,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=2,D=3)",Black,-0.2,0,8,2,12.280605406988236,50,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=2,D=3)",White,0.2,2,8,0,300.9058792250497,50,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=3,D=2)",Black,-0.3,0,7,3,12.416814168294271,50,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=3,D=2)",White,0.3,3,7,0,318.81282329559326,50,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=3,D=3)",Black,-0.2,0,8,2,12.425527799697152,50,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=50,R=3,D=3)",White,0.2,2,8,0,394.55213376453946,50,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,12.234854698181152,70,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,301.35831991831463,70,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,8.792881965637209,70,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,309.2706155776977,70,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,12.367757161458332,70,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,400.5934015909832,70,3,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=3,D=3)",Black,0.2,2,8,0,11.788837114969889,70,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=70,R=3,D=3)",White,-0.2,0,8,2,563.1263791190253,70,3,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,183.14948081970212,30,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,124.48238690694173,30,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=2,D=3)",Black,0.1,1,9,0,197.17791557312012,30,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=2,D=3)",White,-0.1,0,9,1,159.93184464318412,30,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=3,D=2)",Black,0.0,0,10,0,184.1992282867432,30,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=3,D=2)",White,0.0,0,10,0,169.4179662068685,30,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=30,R=3,D=3)",Black,-0.1,0,9,1,184.80974061148507,30,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
