Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,132.41209983825684,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,449.5388865470888,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=2)",Black,-1.0,0,0,10,142.613943417867,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=2)",White,1.0,10,0,0,148.59115282694495,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=3)",Black,-1.0,0,0,10,146.9492864608765,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=3)",White,1.0,10,0,0,179.9149322509766,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,143.9339052547108,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,187.4612368959369,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=3)",Black,-1.0,0,0,10,140.27986685434976,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=3)",White,1.0,10,0,0,220.53585370381677,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=2)",Black,-0.5,0,5,5,143.50711822509766,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=2)",White,0.5,5,5,0,241.425421888178,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=3)",Black,-1.0,0,0,10,170.77754179636636,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=3)",White,1.0,10,0,0,358.8259220123291,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=2)",Black,-1.0,0,0,10,196.47570219906893,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=2)",White,1.0,10,0,0,349.8017917979847,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,183.71374096189228,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,414.8044671331132,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=2)",Black,-1.0,0,0,10,189.55930774862117,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=2)",White,1.0,10,0,0,446.6909712011164,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,157.09457227161948,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,479.41194602421353,30,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=30,R=3,D=3)",Black,0.0,0,10,0,192.59037176767984,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=30,R=3,D=3)",White,0.0,0,10,0,188.90438079833984,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=2)",Black,-1.0,0,0,10,201.87671383221945,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=2)",White,1.0,10,0,0,193.03503433863324,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,188.9744488398234,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,236.1414686838786,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=2)",Black,-1.0,0,0,10,222.4029918511708,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=2)",White,1.0,10,0,0,288.08431824048364,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,239.0478674570719,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,397.8876479466756,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,202.42041905721027,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,263.2360982894898,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,190.19847313563025,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,345.87281346321106,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,180.33623377482095,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,312.30115731557214,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
