Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=3,D=3)",White,0.0,0,10,0,247.30103969573972
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=2,D=2)",Black,-1.0,0,0,10,169.23676133155823
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=2,D=2)",White,1.0,10,0,0,230.54110010464987
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,137.59287993113202
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,233.10900847117105
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=2)",Black,-1.0,0,0,10,140.99040627479553
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=2)",White,1.0,10,0,0,244.32372252146405
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,130.672877629598
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,301.80550416310626
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,133.23444366455078
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,245.86182117462158
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,136.458029349645
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,342.2414163748423
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,134.8834164937337
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,320.8577346801758
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,132.41209983825684
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,449.53888654708874
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=2)",Black,-1.0,0,0,10,142.613943417867
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=2)",White,1.0,10,0,0,148.59115282694495
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=3)",Black,-1.0,0,0,10,146.9492864608765
"MCTS(S=30,R=3,D=2) vs MCTS(S=30,R=3,D=3)",White,1.0,10,0,0,179.9149322509766
