Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"Random vs MCTS(S=50,R=2,D=2)",O,0.56,35,8,7,55.857270558675125
"Random vs MCTS(S=50,R=2,D=3)",X,-0.74,4,5,41,0.040183067321777344
"Random vs MCTS(S=50,R=2,D=3)",O,0.74,41,5,4,54.09822463989257
"Random vs MCTS(S=50,R=3,D=1)",X,-0.26,15,7,28,0.045572280883789056
"Random vs MCTS(S=50,R=3,D=1)",O,0.26,28,7,15,85.61803221702576
"Random vs MCTS(S=50,R=3,D=2)",X,-0.42,6,17,27,0.04200283686319986
"Random vs MCTS(S=50,R=3,D=2)",O,0.42,27,17,6,80.05688786506653
"Random vs MCTS(S=50,R=3,D=3)",X,-0.66,6,5,39,0.04798189798990885
"Random vs MCTS(S=50,R=3,D=3)",O,0.66,39,5,6,77.65246470769246
MiniMax(D=1) vs Random,X,-0.34,15,3,32,2.85433022181193
MiniMax(D=1) vs Random,O,0.34,32,3,15,0.05928595860799154
MiniMax(D=2) vs Random,X,0.78,42,5,3,16.558008432388306
MiniMax(D=2) vs Random,O,-0.78,3,5,42,0.02909262975056966
MiniMax(D=3) vs Random,X,0.9,47,1,2,117.60073979695639
MiniMax(D=3) vs Random,O,-0.9,2,1,47,0.0719308853149414
Random vs MiniMax(D=1),X,0.86,46,1,3,0.03158092498779297
Random vs MiniMax(D=1),O,-0.86,3,1,46,2.567808230717977
Random vs MiniMax(D=2),X,-0.26,5,27,18,0.04010343551635742
Random vs MiniMax(D=2),O,0.26,18,27,5,12.711365620295204
Random vs MiniMax(D=3),X,-0.64,5,8,37,0.04171609878540039
Random vs MiniMax(D=3),O,0.64,37,8,5,71.27466837565103
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,9.237228870391846
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.1988751888275146
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",X,-0.36,4,24,22,9.0455961227417
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",O,0.36,22,24,4,13.524707555770874
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",X,-0.58,8,5,37,9.23874870936076
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",O,0.58,37,5,8,73.450608253479
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,8.732561906178793
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.0552856127421064
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",X,-0.22,6,27,17,8.62713146209717
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",O,0.22,17,27,6,14.194871187210083
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",X,-0.5,10,5,35,8.56318179766337
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",O,0.5,35,5,10,70.88276306788126
"MCTS(S=10,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,7.989882946014404
"MCTS(S=10,R=1,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,2.9048029581705728
"MCTS(S=10,R=1,D=3) vs MiniMax(D=2)",X,0.1,15,25,10,7.350157737731933
"MCTS(S=10,R=1,D=3) vs MiniMax(D=2)",O,-0.1,10,25,15,13.240118821461998
"MCTS(S=10,R=1,D=3) vs MiniMax(D=3)",X,-0.22,16,7,27,8.036447842915852
"MCTS(S=10,R=1,D=3) vs MiniMax(D=3)",O,0.22,27,7,16,69.45220867792766
"MCTS(S=10,R=2,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,15.370279947916668
"MCTS(S=10,R=2,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2552584012349453
"MCTS(S=10,R=2,D=1) vs MiniMax(D=2)",X,-0.3,7,21,22,14.091962337493895
"MCTS(S=10,R=2,D=1) vs MiniMax(D=2)",O,0.3,22,21,7,13.365279833475748
"MCTS(S=10,R=2,D=1) vs MiniMax(D=3)",X,-0.64,8,2,40,15.111449321111044
"MCTS(S=10,R=2,D=1) vs MiniMax(D=3)",O,0.64,40,2,8,72.44821945826213
"MCTS(S=10,R=2,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,14.637307802836101
"MCTS(S=10,R=2,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2242178916931152
"MCTS(S=10,R=2,D=2) vs MiniMax(D=2)",X,-0.2,5,30,15,13.503972291946411
"MCTS(S=10,R=2,D=2) vs MiniMax(D=2)",O,0.2,15,30,5,13.633984327316284
"MCTS(S=10,R=2,D=2) vs MiniMax(D=3)",X,-0.58,8,5,37,14.773602724075317
"MCTS(S=10,R=2,D=2) vs MiniMax(D=3)",O,0.58,37,5,8,71.13973617553711
"MCTS(S=10,R=2,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,14.446173429489136
"MCTS(S=10,R=2,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.473179737726847
"MCTS(S=10,R=2,D=3) vs MiniMax(D=2)",X,0.16,15,28,7,12.70714235305786
"MCTS(S=10,R=2,D=3) vs MiniMax(D=2)",O,-0.16,7,28,15,14.247759183247883
"MCTS(S=10,R=2,D=3) vs MiniMax(D=3)",X,-0.12,18,8,24,13.608784596125284
"MCTS(S=10,R=2,D=3) vs MiniMax(D=3)",O,0.12,24,8,18,71.7158051331838
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,21.909835815429684
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2580435276031494
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",X,-0.34,9,15,26,20.337937593460083
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",O,0.34,26,15,9,14.405492146809895
