Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=10,R=2,D=2) vs MiniMax(D=3)",O,0.44,26,20,4,56.16450230280559
"MCTS(S=10,R=2,D=3) vs MiniMax(D=1)",X,0.5,36,3,11,11.669600009918211
"MCTS(S=10,R=2,D=3) vs MiniMax(D=1)",O,-0.5,11,3,36,2.220169305801391
"MCTS(S=10,R=2,D=3) vs MiniMax(D=2)",X,-0.56,0,22,28,12.260042428970339
"MCTS(S=10,R=2,D=3) vs MiniMax(D=2)",O,0.56,28,22,0,13.172409534454346
"MCTS(S=10,R=2,D=3) vs MiniMax(D=3)",X,-0.4,8,14,28,12.41057515144348
"MCTS(S=10,R=2,D=3) vs MiniMax(D=3)",O,0.4,28,14,8,63.302360375722245
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",X,0.82,42,7,1,16.655601819356285
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",O,-0.82,1,7,42,2.3390066623687744
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",X,-0.38,2,27,21,15.924120426177979
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",O,0.38,21,27,2,11.301800807317099
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",X,-0.04,14,20,16,16.27275307973226
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",O,0.04,16,20,14,56.956737438837685
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",X,0.5,32,11,7,17.321728706359863
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",O,-0.5,7,11,32,2.3540441195170083
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",X,-0.64,0,18,32,16.712064027786255
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",O,0.64,32,18,0,12.246325810750323
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",X,-0.52,5,14,31,17.234948476155598
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",O,0.52,31,14,5,61.707056760787964
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",X,0.86,45,3,2,20.943531195322677
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",O,-0.86,2,3,45,3.252568244934082
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",X,-0.34,1,31,18,18.1264165242513
